from_city,to_city,transport_mode,distance_km,avg_travel_time_hours,cost_level,estimated_daily_traffic
Lagos,Cotonou,Road,130,4,Medium,8500
Cotonou,Lome,Road,170,3,Low,5200
Lome,Accra,Road,190,3,Low,6800
Accra,Abidjan,Road,520,8,Medium,4500
Abidjan,Yamoussoukro,Road,240,4,Low,3200
Lagos,Abuja,Road,750,12,High,9200
Lagos,Kano,Road,1020,18,High,5600
Abuja,Kano,Road,450,8,Medium,4100
Kano,Niamey,Road,850,14,Medium,1800
Abidjan,Ouagadougou,Road,1120,18,High,2800
Ouagadougou,Bamako,Road,700,12,Medium,1500
Bamako,Dakar,Road,1250,20,High,2200
Dakar,Bamako,Rail,1287,30,Low,200
Abidjan,Ouagadougou,Rail,1260,28,Low,500
Lagos,London,Air,5100,7,High,2400
Lagos,Accra,Air,450,1,Medium,3200
Accra,Abidjan,Air,520,1,Medium,1600
Dakar,Paris,Air,4200,5.5,High,1200
Abidjan,Paris,Air,5000,6.5,High,1400
Lagos,Rotterdam,Maritime,8500,360,High,800
Abidjan,Marseille,Maritime,6200,280,High,600
Dakar,Barcelona,Maritime,5500,240,Medium,400
Tema,Shanghai,Maritime,13000,560,High,500
Lome,Lagos,Maritime,800,48,Low,1200
Tema,Ouagadougou,Road,1050,18,High,2200
Lome,Ouagadougou,Road,980,16,Medium,1800
Cotonou,Niamey,Road,1060,18,High,2500
Conakry,Bamako,Road,900,15,Medium,1200
Dakar,Conakry,Road,750,12,Medium,1500
Freetown,Conakry,Road,280,5,Low,800
Monrovia,Abidjan,Road,650,12,Medium,600
Banjul,Dakar,Road,340,6,Low,900
