base_currency,target_currency,exchange_rate,fetch_timestamp,data_source
NGN,GHS,0.00869,2026-06-08 18:39:06 UTC,api.budjet.org
NGN,XOF,0.418082,2026-06-08 18:39:06 UTC,api.budjet.org
NGN,GMD,0.054525,2026-06-08 18:39:06 UTC,api.budjet.org
NGN,SLL,18.050992,2026-06-08 18:39:06 UTC,api.budjet.org
NGN,LRD,0.134171,2026-06-08 18:39:06 UTC,api.budjet.org
NGN,GNF,6.450045,2026-06-08 18:39:06 UTC,api.budjet.org
NGN,USD,0.000735,2026-06-08 18:39:06 UTC,api.budjet.org
NGN,EUR,0.000637,2026-06-08 18:39:06 UTC,api.budjet.org
NGN,GBP,0.000551,2026-06-08 18:39:06 UTC,api.budjet.org
NGN,CNY,0.004994,2026-06-08 18:39:06 UTC,api.budjet.org
GHS,NGN,115.07877,2026-06-08 18:39:06 UTC,api.budjet.org
GHS,XOF,48.112403,2026-06-08 18:39:06 UTC,api.budjet.org
GHS,GMD,6.274631,2026-06-08 18:39:06 UTC,api.budjet.org
GHS,SLL,2077.286016,2026-06-08 18:39:06 UTC,api.budjet.org
GHS,LRD,15.440241,2026-06-08 18:39:06 UTC,api.budjet.org
GHS,GNF,742.263219,2026-06-08 18:39:06 UTC,api.budjet.org
GHS,USD,0.08459,2026-06-08 18:39:06 UTC,api.budjet.org
GHS,EUR,0.073348,2026-06-08 18:39:06 UTC,api.budjet.org
GHS,GBP,0.063375,2026-06-08 18:39:06 UTC,api.budjet.org
GHS,CNY,0.574655,2026-06-08 18:39:06 UTC,api.budjet.org
XOF,NGN,2.391873,2026-06-08 18:39:06 UTC,api.budjet.org
XOF,GHS,0.020785,2026-06-08 18:39:06 UTC,api.budjet.org
XOF,GMD,0.130416,2026-06-08 18:39:06 UTC,api.budjet.org
XOF,SLL,43.175686,2026-06-08 18:39:06 UTC,api.budjet.org
XOF,LRD,0.32092,2026-06-08 18:39:06 UTC,api.budjet.org
XOF,GNF,15.427689,2026-06-08 18:39:06 UTC,api.budjet.org
XOF,USD,0.001758,2026-06-08 18:39:06 UTC,api.budjet.org
XOF,EUR,0.001525,2026-06-08 18:39:06 UTC,api.budjet.org
XOF,GBP,0.001317,2026-06-08 18:39:06 UTC,api.budjet.org
XOF,CNY,0.011944,2026-06-08 18:39:06 UTC,api.budjet.org
GMD,NGN,18.340326,2026-06-08 18:39:06 UTC,api.budjet.org
GMD,GHS,0.159372,2026-06-08 18:39:06 UTC,api.budjet.org
GMD,XOF,7.667767,2026-06-08 18:39:06 UTC,api.budjet.org
GMD,SLL,331.061088,2026-06-08 18:39:06 UTC,api.budjet.org
GMD,LRD,2.460741,2026-06-08 18:39:06 UTC,api.budjet.org
GMD,GNF,118.295924,2026-06-08 18:39:06 UTC,api.budjet.org
GMD,USD,0.013481,2026-06-08 18:39:06 UTC,api.budjet.org
GMD,EUR,0.01169,2026-06-08 18:39:06 UTC,api.budjet.org
GMD,GBP,0.0101,2026-06-08 18:39:06 UTC,api.budjet.org
GMD,CNY,0.091584,2026-06-08 18:39:06 UTC,api.budjet.org
SLL,NGN,0.055399,2026-06-08 18:39:06 UTC,api.budjet.org
SLL,GHS,0.000481,2026-06-08 18:39:06 UTC,api.budjet.org
SLL,XOF,0.023161,2026-06-08 18:39:06 UTC,api.budjet.org
SLL,GMD,0.003021,2026-06-08 18:39:06 UTC,api.budjet.org
SLL,LRD,0.007433,2026-06-08 18:39:06 UTC,api.budjet.org
SLL,GNF,0.357324,2026-06-08 18:39:06 UTC,api.budjet.org
SLL,USD,4.1e-05,2026-06-08 18:39:06 UTC,api.budjet.org
SLL,EUR,3.5e-05,2026-06-08 18:39:06 UTC,api.budjet.org
SLL,GBP,3.1e-05,2026-06-08 18:39:06 UTC,api.budjet.org
SLL,CNY,0.000277,2026-06-08 18:39:06 UTC,api.budjet.org
LRD,NGN,7.453172,2026-06-08 18:39:06 UTC,api.budjet.org
LRD,GHS,0.064766,2026-06-08 18:39:06 UTC,api.budjet.org
LRD,XOF,3.11604,2026-06-08 18:39:06 UTC,api.budjet.org
LRD,GMD,0.406382,2026-06-08 18:39:06 UTC,api.budjet.org
LRD,SLL,134.537148,2026-06-08 18:39:06 UTC,api.budjet.org
LRD,GNF,48.073292,2026-06-08 18:39:06 UTC,api.budjet.org
LRD,USD,0.005479,2026-06-08 18:39:06 UTC,api.budjet.org
LRD,EUR,0.00475,2026-06-08 18:39:06 UTC,api.budjet.org
LRD,GBP,0.004105,2026-06-08 18:39:06 UTC,api.budjet.org
LRD,CNY,0.037218,2026-06-08 18:39:06 UTC,api.budjet.org
GNF,NGN,0.155038,2026-06-08 18:39:06 UTC,api.budjet.org
GNF,GHS,0.001347,2026-06-08 18:39:06 UTC,api.budjet.org
GNF,XOF,0.064819,2026-06-08 18:39:06 UTC,api.budjet.org
GNF,GMD,0.008453,2026-06-08 18:39:06 UTC,api.budjet.org
GNF,SLL,2.798584,2026-06-08 18:39:06 UTC,api.budjet.org
GNF,LRD,0.020802,2026-06-08 18:39:06 UTC,api.budjet.org
GNF,USD,0.000114,2026-06-08 18:39:06 UTC,api.budjet.org
GNF,EUR,9.9e-05,2026-06-08 18:39:06 UTC,api.budjet.org
GNF,GBP,8.5e-05,2026-06-08 18:39:06 UTC,api.budjet.org
GNF,CNY,0.000774,2026-06-08 18:39:06 UTC,api.budjet.org
