country,road_network_km,rail_network_km,airports,major_seaports,inland_ports,notes
Nigeria,195000,3505,31,6,4,Largest road network in West Africa;Rail modernization underway
Ghana,72400,947,8,2,2,Well-developed southern corridor;Rail rehabilitation
Cote d'Ivoire,82200,1260,15,2,2,SITARAIL rail service;Major maritime hub
Senegal,14800,906,6,1,1,TRANSRAIL railway;New Blaise Diagne airport
Benin,19000,438,3,1,1,Niger corridor gateway;Rail planned
Togo,11500,352,2,1,1,Lome transshipment hub;Short network
Burkina Faso,15200,622,4,0,1,Landlocked;Depends on coastal corridors
Mali,22800,593,5,0,1,Landlocked;TRANSRAIL to Dakar
Niger,18600,144,3,0,1,Landlocked;Roads to coastal ports critical
Guinea,42200,662,4,1,1,Bauxite transport critical;Rail to Conakry
Sierra Leone,11300,84,2,1,1,Post-conflict rehabilitation;Limited rail
Liberia,10500,429,2,1,1,Iron ore railways;Rehabilitation needed
Gambia,3700,0,1,0,0,Small network;River transport important
Guinea-Bissau,4500,0,1,0,0,Very limited infrastructure
Cape Verde,1150,0,2,0,1,Island nation;Maritime and air connections
Mauritania,10800,704,3,1,1,Iron ore railway (Zouerate-Nouadhibou)
