currency_code,currency_name,country,country_code,region,central_bank,is_ecowas_member,is_waemu_member,is_afcfta_member,rate_per_usd,fetch_timestamp
NGN,Nigerian Naira,Nigeria,NGA,West Africa,Central Bank of Nigeria (CBN),Yes,No,Yes,1360.4267,2026-06-08 18:39:06 UTC
GHS,Ghanaian Cedi,Ghana,GHA,West Africa,Bank of Ghana (BoG),Yes,No,Yes,11.8217,2026-06-08 18:39:06 UTC
XOF,West African CFA Franc,Benin,BEN,West Africa,BCEAO (Central Bank of West African States),Yes,Yes,Yes,568.7704,2026-06-08 18:39:06 UTC
XOF,West African CFA Franc,Burkina Faso,BFA,West Africa,BCEAO,Yes,Yes,Yes,568.7704,2026-06-08 18:39:06 UTC
XOF,West African CFA Franc,Cote d'Ivoire,CIV,West Africa,BCEAO,Yes,Yes,Yes,568.7704,2026-06-08 18:39:06 UTC
XOF,West African CFA Franc,Guinea-Bissau,GNB,West Africa,BCEAO,Yes,Yes,Yes,568.7704,2026-06-08 18:39:06 UTC
XOF,West African CFA Franc,Mali,MLI,West Africa,BCEAO,Yes,Yes,Yes,568.7704,2026-06-08 18:39:06 UTC
XOF,West African CFA Franc,Niger,NER,West Africa,BCEAO,Yes,Yes,Yes,568.7704,2026-06-08 18:39:06 UTC
XOF,West African CFA Franc,Senegal,SEN,West Africa,BCEAO,Yes,Yes,Yes,568.7704,2026-06-08 18:39:06 UTC
XOF,West African CFA Franc,Togo,TGO,West Africa,BCEAO,Yes,Yes,Yes,568.7704,2026-06-08 18:39:06 UTC
GMD,Gambian Dalasi,Gambia,GMB,West Africa,Central Bank of The Gambia,Yes,No,Yes,74.1768,2026-06-08 18:39:06 UTC
SLL,Sierra Leonean Leone,Sierra Leone,SLE,West Africa,Bank of Sierra Leone,Yes,No,Yes,24557.0521,2026-06-08 18:39:06 UTC
LRD,Liberian Dollar,Liberia,LBR,West Africa,Central Bank of Liberia,Yes,No,Yes,182.5299,2026-06-08 18:39:06 UTC
GNF,Guinean Franc,Guinea,GIN,West Africa,Central Bank of the Republic of Guinea,Yes,No,Yes,8774.8131,2026-06-08 18:39:06 UTC
CVE,Cape Verdean Escudo,Cape Verde,CPV,West Africa,Bank of Cape Verde,Yes,No,Yes,110.45,2026-06-08 18:39:06 UTC
MRO,Mauritanian Ouguiya,Mauritania,MRT,West Africa,Central Bank of Mauritania,Yes,No,Yes,39.85,2026-06-08 18:39:06 UTC
KES,Kenyan Shilling,Kenya,KEN,East Africa,Central Bank of Kenya,No,No,Yes,129.2606,2026-06-08 18:39:06 UTC
TZS,Tanzanian Shilling,Tanzania,TZA,East Africa,Bank of Tanzania,No,No,Yes,2622.2511,2026-06-08 18:39:06 UTC
UGX,Ugandan Shilling,Uganda,UGA,East Africa,Bank of Uganda,No,No,Yes,3742.4481,2026-06-08 18:39:06 UTC
RWF,Rwandan Franc,Rwanda,RWA,East Africa,National Bank of Rwanda,No,No,Yes,1464.7512,2026-06-08 18:39:06 UTC
BIF,Burundian Franc,Burundi,BDI,East Africa,Bank of the Republic of Burundi,No,No,Yes,2983.5785,2026-06-08 18:39:06 UTC
